comparison_rank,label,insect_name,train_support,train_precision,train_recall,train_f1_score,train_error_rate,val_support,val_precision,val_recall,val_f1_score,val_error_rate,test_support,test_precision,test_recall,test_f1_score,test_error_rate,train_val_f1_gap,train_val_recall_gap,train_test_f1_gap,val_test_f1_difference
84,70,Miridae,3048,0.997054,0.999344,0.998198,0.000656,508,0.804745,0.868110,0.835227,0.131890,1525,0.782927,0.841967,0.811374,0.158033,0.162970,0.131234,0.186823,0.023853
85,95,Salurnis marginella Guerr,292,0.989691,0.986301,0.987993,0.013699,48,0.863636,0.791667,0.826087,0.208333,147,0.803922,0.836735,0.820000,0.163265,0.161906,0.194635,0.167993,0.006087
86,14,grub,516,0.994220,1.000000,0.997101,0.000000,86,0.873418,0.802326,0.836364,0.197674,258,0.840149,0.875969,0.857685,0.124031,0.160738,0.197674,0.139416,-0.021321
87,76,Icerya purchasi Maskell,433,0.997691,0.997691,0.997691,0.002309,72,0.845070,0.833333,0.839161,0.166667,217,0.855072,0.815668,0.834906,0.184332,0.158530,0.164357,0.162785,0.004255
88,88,Phyllocnistis citrella Stainton,242,1.000000,1.000000,1.000000,0.000000,40,0.888889,0.800000,0.842105,0.200000,122,0.776860,0.770492,0.773663,0.229508,0.157895,0.200000,0.226337,0.068443
89,37,flea beetle,473,0.997890,1.000000,0.998944,0.000000,79,0.880000,0.835443,0.857143,0.164557,237,0.845815,0.810127,0.827586,0.189873,0.141801,0.164557,0.171358,0.029557
90,78,Ceroplastes rubens,154,0.993548,1.000000,0.996764,0.000000,26,0.913043,0.807692,0.857143,0.192308,78,0.825000,0.846154,0.835443,0.153846,0.139621,0.192308,0.161321,0.021700
91,25,Potosiabre vitarsis,339,1.000000,0.997050,0.998523,0.002950,56,0.833333,0.892857,0.862069,0.107143,170,0.920732,0.888235,0.904192,0.111765,0.136454,0.104193,0.094331,-0.042123
92,67,Lycorma delicatula,3186,0.999059,0.999372,0.999215,0.000628,530,0.847397,0.890566,0.868445,0.109434,1594,0.845238,0.890841,0.867440,0.109159,0.130770,0.108806,0.131775,0.001005
93,101,Cicadellidae,3444,0.997676,0.997096,0.997386,0.002904,573,0.854271,0.890052,0.871795,0.109948,1723,0.851811,0.887406,0.869244,0.112594,0.125591,0.107044,0.128142,0.002551
94,75,Phyllocoptes oleiverus ashmead,103,0.980583,0.980583,0.980583,0.019417,17,0.800000,0.941176,0.864865,0.058824,52,0.755556,0.653846,0.701031,0.346154,0.115718,0.039406,0.279552,0.163834
95,48,Locustoidea,836,1.000000,1.000000,1.000000,0.000000,139,0.910448,0.877698,0.893773,0.122302,419,0.891304,0.880668,0.885954,0.119332,0.106227,0.122302,0.114046,0.007819
96,82,Aleurocanthus spiniferus,414,0.997590,1.000000,0.998794,0.000000,68,0.897059,0.897059,0.897059,0.102941,208,0.885167,0.889423,0.887290,0.110577,0.101735,0.102941,0.111504,0.009769
97,30,wheat blossom midge,291,1.000000,1.000000,1.000000,0.000000,48,0.933333,0.875000,0.903226,0.125000,146,0.863354,0.952055,0.905537,0.047945,0.096774,0.125000,0.094463,-0.002312
98,58,Limacodidae,840,1.000000,0.998810,0.999404,0.001190,139,0.925926,0.899281,0.912409,0.100719,421,0.935323,0.893112,0.913730,0.106888,0.086996,0.099529,0.085674,-0.001321
99,15,mole cricket,989,1.000000,1.000000,1.000000,0.000000,165,0.903409,0.963636,0.932551,0.036364,495,0.936508,0.953535,0.944945,0.046465,0.067449,0.036364,0.055055,-0.012394
100,62,oides decempunctata,169,1.000000,0.994083,0.997033,0.005917,29,1.000000,0.896552,0.945455,0.103448,85,0.952381,0.941176,0.946746,0.058824,0.051578,0.097531,0.050287,-0.001291
101,73,Papilio xuthus,269,1.000000,1.000000,1.000000,0.000000,45,0.976744,0.933333,0.954545,0.066667,135,0.976378,0.918519,0.946565,0.081481,0.045455,0.066667,0.053435,0.007981
102,56,Pieris canidia,281,1.000000,1.000000,1.000000,0.000000,47,0.940000,1.000000,0.969072,0.000000,141,0.948529,0.914894,0.931408,0.085106,0.030928,0.000000,0.068592,0.037664
