error_contribution_rank,split,label,insect_name,support,false_negative,error_rate,precision,recall,f1_score,top1_wrong_class,top1_wrong_count,top1_wrong_rate,error_share,cumulative_errors,cumulative_error_share
85,train,74,Panonchus citri McGregor,231,0,0.000000,0.868421,1.000000,0.929577,,0,0.000000,0.000000,810,1.000000
86,train,57,Apolygus lucorum,228,0,0.000000,0.991304,1.000000,0.995633,,0,0.000000,0.000000,810,1.000000
87,train,6,Rice Stemfly,221,0,0.000000,0.924686,1.000000,0.960870,,0,0.000000,0.000000,810,1.000000
88,train,59,Viteus vitifoliae,212,0,0.000000,0.887029,1.000000,0.940133,,0,0.000000,0.000000,810,1.000000
89,train,91,Aphis citricola Vander Goot,210,0,0.000000,0.905172,1.000000,0.950226,,0,0.000000,0.000000,810,1.000000
90,train,34,wheat sawfly,203,0,0.000000,0.990244,1.000000,0.995098,,0,0.000000,0.000000,810,1.000000
91,train,28,green bug,195,0,0.000000,0.942029,1.000000,0.970149,,0,0.000000,0.000000,810,1.000000
92,train,87,Adristyrannus,186,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,810,1.000000
93,train,42,beet weevil,184,0,0.000000,0.924623,1.000000,0.960836,,0,0.000000,0.000000,810,1.000000
94,train,64,Pseudococcus comstocki Kuwana,184,0,0.000000,0.948454,1.000000,0.973545,,0,0.000000,0.000000,810,1.000000
95,train,97,Chlumetia transversa,183,0,0.000000,0.994565,1.000000,0.997275,,0,0.000000,0.000000,810,1.000000
96,train,40,Beet spot flies,179,0,0.000000,0.899497,1.000000,0.947090,,0,0.000000,0.000000,810,1.000000
97,train,33,wheat phloeothrips,175,0,0.000000,0.833333,1.000000,0.909091,,0,0.000000,0.000000,810,1.000000
98,train,62,oides decempunctata,169,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,810,1.000000
99,train,41,meadow moth,162,0,0.000000,0.993865,1.000000,0.996923,,0,0.000000,0.000000,810,1.000000
100,train,2,paddy stem maggot,156,0,0.000000,0.861878,1.000000,0.925816,,0,0.000000,0.000000,810,1.000000
101,train,52,therioaphis maculata Buckton,156,0,0.000000,0.981132,1.000000,0.990476,,0,0.000000,0.000000,810,1.000000
102,train,78,Ceroplastes rubens,154,0,0.000000,0.980892,1.000000,0.990354,,0,0.000000,0.000000,810,1.000000
